						
	Accessible in game	True Pacifist	Not accessible	TODO		
* (Wow!^1)&* (You are superfast at being&  wrong.)/%%			Narrator	Ruins	room_ruins3	
* This switch doesn't even&  work.../%%			Narrator	Ruins	room_ruins3	
* Please press this switch.& &            - TORIEL/%%			Toriel (note)	Ruins	room_ruins3	
* Please press this switch&  too.&             - TORIEL/%%			Toriel (note)	Ruins	room_ruins3	
* Every time this old tree&  grows any leaves^1, they fall&  right off./%%			Narrator	Ruins	room_ruins19	
* It's a neat-looking tree./%%			Narrator	Ruins	room_ruins19	
* (It's natural for a tree to&  lose its leaves.)/%%			Narrator	Ruins	room_ruins19	
* Ah^1, the cactus.&* Truly the most tsundere&  of plants./%%			Narrator	Ruins	room_torielroom	
* It's not like this cactus&  was waiting for you to come&  back or anything.../%%			Narrator	Ruins	room_torielroom	
* The fire isn't burning hot...&* Just pleasantly warm.&* You could put your hand inside./%%			Narrator	Ruins	room_torhouse2	
* Ribbit^1, ribbit^1.&* (Excuse me^1, human.)/			Froggit	Ruins	room_ruins7	
* (I have some advice&  for you about battling&  monsters.)/			Froggit	Ruins	room_ruins7	
\W* (If you \YACT\W a certain way&  or \YFIGHT\W until you&  almost defeat them...)/			Froggit	Ruins	room_ruins7	
* (They might not want to&  battle you anymore.)/			Froggit	Ruins	room_ruins7	
* (If a monster does not&  want to fight you^1, please...)/			Froggit	Ruins	room_ruins7	
\W* (Use some \YMERCY^1,\W human.^1)&* Ribbit./%%			Froggit	Ruins	room_ruins7	
* (The monsters in this world&  are very dangerous and&  aggressive.)/			Froggit	Ruins	room_ruins7	
* (In this place^1, running away&  will not work on the&  first turn.)/			Froggit	Ruins	room_ruins7	
* (It may be better to try&  another option.^1)&* Ribbit./%%			Froggit	Ruins	room_ruins7	
* (You seem like you have&  grown into a thoughtful and&  conscientious person.)/			Froggit	Ruins	room_ruins7	
* (Whether that was from my&  advice or not...^1)&* (I'm quite proud.)/			Froggit	Ruins	room_ruins7	
* Ribbit./%%			Froggit	Ruins	room_ruins7	
* Ribbit^1, ribbit^1.&* (Just between you and me...)/			Froggit	Ruins	room_ruins17	
\W* (I saw \BTORIEL\W come out of&  here just a little&  while ago.)/			Froggit	Ruins	room_ruins17	
* (She was carrying some&  groceries.)/			Froggit	Ruins	room_ruins17	
* (I didn't ask what they&  were for...)/			Froggit	Ruins	room_ruins17	
* (We're all too intimidated&  to talk to her.^1)&* Ribbit./%%			Froggit	Ruins	room_ruins17	
* Ribbit^1, ribbit^1.&* (Seems like the RUINS have&  finally opened up.)/			Froggit	Ruins	room_ruins17	
* (Maybe we should finally&  go out to the rest of&  the underground.)/			Froggit	Ruins	room_ruins17	
* (Huh^1? The barrier's open^1,&  too...?)/			Froggit	Ruins	room_ruins17	
* (... let's just take this&  one step at a time^1, OK?)/%%			Froggit	Ruins	room_ruins17	
* (Normally^1, she carries&  groceries out of here.)/			Froggit	Ruins	room_ruins17	
* (But this time^1, she wasn't&  carrying anything.)/			Froggit	Ruins	room_ruins17	
* (She looked disappointed.^1)&* Ribbit./%%			Froggit	Ruins	room_ruins17	
"* Ribbit ribbit^1.&* (I heard using ""F4"" can make&  you have a ""full screen."")/"			Froggit	Ruins	room_ruins13	
"* (But what does ""F4"" stand for?^1)&* (""Four frogs""?)/"			Froggit	Ruins	room_ruins13	
* (I have only seen a maximum of&  three frogs in this room...)/			Froggit	Ruins	room_ruins13	
* (This is troubling^1, to say&  the least.^1)&* Ribbit./%%			Froggit	Ruins	room_ruins13	
* Ribbit ribbit^1.&* (Did you ever find this&  room's fourth frog?)/%%			Froggit	Ruins	room_ruins13	
* Ribbit ribbit^1.&* (Yellow names were nice for&  a while.)/			Froggit	Ruins	room_ruins13	
* (Next time^1, we should try a&  relaxing shade of green.)/%%			Froggit	Ruins	room_ruins13	
* Ribbit ribbit^1.&* (How was your adventure?)/			Froggit	Ruins	room_ruins13	
* (It must have been difficult&  without being able to tell&  the enemy's feelings.)/%%			Froggit	Ruins	room_ruins13	
* Ribbit ribbit^1.&* (Finally^1, we can all remove&  these aging pink names.)/			Froggit	Ruins	room_ruins13	
* (Everyone gave you a big favor&  today.^1)&* (Try to respect that!)/%%			Froggit	Ruins	room_ruins13	
xed						
* Ribbit^1, ribbit^1.&* (Sigh...)/			Froggit	Ruins	room_ruins13	
* (My friend never listens to&  me.)/			Froggit	Ruins	room_ruins13	
* (Whenever I talk^1, they skip&  through my words by pressing&  [X].)/			Froggit	Ruins	room_ruins13	
* (That's right.......^1)&* (Pressing [X]............^1)&* (................)/			Froggit	Ruins	room_ruins13	
* (Well^1, at least you listen&  to me.)/%%			Froggit	Ruins	room_ruins13	
* Ribbit^1, ribbit^1.&* (Say...)/			Froggit	Ruins	room_ruins13	
* (Now that your journey's&  over^1, maybe you'll have&  time to listen to me.)/			Froggit	Ruins	room_ruins13	
* (Since most people just&  press [X] to skip through&  my dialogue.)/			Froggit	Ruins	room_ruins13	
* (You've really matured^1,&  haven't you?)/%%			Froggit	Ruins	room_ruins13	
* (Oh^1, not you too!)/%%			Froggit	Ruins	room_ruins13	
* (... I suppose some things&  never change.)/%%			Froggit	Ruins	room_ruins13	
* (Toriel's small chair.)&* (Its name is Chairiel.)/%%			Narrator	Ruins	room_torielroom	
* (Who knows what the future&  holds for Chairiel.)/%%			Narrator	Ruins	room_torielroom	
* Did you miss it?&* Spider Bakesale down and to&  the right./			Narrator	Ruins	room_ruins13	
* Come eat food made by&  spiders^1, for spiders^1,&  of spiders!/%%			Narrator	Ruins	room_ruins13	
\E0* hey there.&* this is just a little test./			Sans			
\TS \F0 \F4 \TP %			Papyrus			
I WILL BATHE IN&A SHOWER OF KISSES&EVERY MORNING !/			Papyrus			
\TS \F0 \F3 \Ts %			Sans			
* no^1. not today./%%			Sans			
* This cheese has been here&  quite a long time./			Narrator	Ruins	room_ruins12A	
* It's stuck to the table.../%%			Narrator	Ruins	room_ruins12A	
* (Looks like cheese has a&  nibble taken out of it.)/%%			Narrator	Ruins	room_ruins12A	
murdererlv1						
* i usually come to the&  RUINS because there's&  nobody around.../			Napstablook	Ruins	room_ruins12	
* but today i met somebody&  nice.../			Napstablook	Ruins	room_ruins12	
* oh^1, i'm rambling again/			Napstablook	Ruins	room_ruins12	
* i'll get out of your way/%%			Napstablook	Ruins	room_ruins12	
fought						
* i fell down a hole...&* now i cant get up.../			Napstablook	Ruins	room_ruins14	
* go on without me.../			Napstablook	Ruins	room_ruins14	
* wait^1, ghosts can fly^1,&  can't they.../			Napstablook	Ruins	room_ruins14	
* oh well.../%%			Napstablook	Ruins	room_ruins14	
candymade						
candy						
* (It's a spider web.)/			Narrator	Waterfall	room_water_blookhouse	
* (There's a flyer for a&  bake sale on it.)/%%			Narrator	Waterfall	room_water_blookhouse	
scr_npcdir						
donk						
tor						
curf						
* Do not worry about&  me./			Toriel	Ruins	room_area1	
* Someone has to take&  care of these flowers./%%			Toriel	Ruins	room_area1	
* Don't worry about&  me./			Asriel	Ruins	room_area1	
* Frisk^1, please leave&  me alone./			Asriel	Ruins	room_area1	
\E3* I can't come back^1.&* I just can't^1, OK?/%%			Asriel	Ruins	room_area1	
\E7* I don't want to break&  their hearts all over&  again./			Asriel	Ruins	room_area1	
* It's better if they&  never see me./%%			Asriel	Ruins	room_area1	
\E7* ... why are you still&  here?/			Asriel	Ruins	room_area1	
* Are you trying to keep&  me company?/			Asriel	Ruins	room_area1	
\E0* Frisk.../			Asriel	Ruins	room_area1	
\E7* Hey./			Asriel	Ruins	room_area1	
\E0* Let me ask you a&  question./			Asriel	Ruins	room_area1	
* Frisk..^1.&* Why did you come&  here?/			Asriel	Ruins	room_area1	
* Everyone knows the&  legend^1, right...?/			Asriel	Ruins	room_area1	
"* ""Travellers who climb&  Mt. Ebott are said&  to disappear.""/"			Asriel	Ruins	room_area1	
* Frisk./			Asriel	Ruins	room_area1	
*\E0 Why would you ever&  climb a mountain&  like that?/			Asriel	Ruins	room_area1	
\E7* Was it foolishness?/			Asriel	Ruins	room_area1	
\E0* Was it fate?/			Asriel	Ruins	room_area1	
\E1* Or was it..^1.&* Because you...?/			Asriel	Ruins	room_area1	
\E7* Well./			Asriel	Ruins	room_area1	
\E0* Only you know the&  answer^1, don't you...?/%%			Asriel	Ruins	room_area1	
\E2* I know why 			Asriel	Ruins	room_area1	
&  climbed the mountain./			Asriel	Ruins	room_area1	
\E7* It wasn't for a&  very happy reason./			Asriel	Ruins	room_area1	
\E2* Frisk^1.&* I'll be honest with&  you./			Asriel	Ruins	room_area1	
\E7 * 			Asriel	Ruins	room_area1	
 hated humanity./			Asriel	Ruins	room_area1	
\E2* Why they did^1, they&  never talked about&  it./			Asriel	Ruins	room_area1	
\E1* But they felt very&  strongly about&  that./%%			Asriel	Ruins	room_area1	
\E2* Frisk..^1.&* You really ARE different&  from 			Asriel	Ruins	room_area1	
\E0* In fact^1, though you&  have similar^1, uh^1,&  fashion choices.../			Asriel	Ruins	room_area1	
* I don't know why I&  ever acted like you&  were the same person./			Asriel	Ruins	room_area1	
\E7* Maybe..^1.&* The truth is.../			Asriel	Ruins	room_area1	
\E1* 			Asriel	Ruins	room_area1	
 wasn't really&  the greatest person./			Asriel	Ruins	room_area1	
\E7* While^1, Frisk.../			Asriel	Ruins	room_area1	
\E0* You're the type of&  friend I wish I&  always had./			Asriel	Ruins	room_area1	
\E7* So maybe I was kind&  of projecting a&  little bit./			Asriel	Ruins	room_area1	
\E0* Let's be honest^1.&* I did some weird&  stuff as a flower./%%			Asriel	Ruins	room_area1	
\E2* There's one last&  thing I feel like&  I should tell you./			Asriel	Ruins	room_area1	
* Frisk^1, when 			Asriel	Ruins	room_area1	
&  and I combined our&  SOULs together.../			Asriel	Ruins	room_area1	
* The control over our&  body was actually split&  between us./			Asriel	Ruins	room_area1	
* They were the one&  that picked up their&  own empty body./			Asriel	Ruins	room_area1	
* And then^1, when we&  got to the village.../			Asriel	Ruins	room_area1	
\E2* They were the one&  that wanted to.../			Asriel	Ruins	room_area1	
\E1* ... to use our full&  power./			Asriel	Ruins	room_area1	
\E2* I was the one that&  resisted./			Asriel	Ruins	room_area1	
\E7* And then^1, because of&  me^1, we.../			Asriel	Ruins	room_area1	
\E1* Well^1, that's why I&  ended up a flower./			Asriel	Ruins	room_area1	
* This whole time^1, I've&  blamed myself for&  that decision./			Asriel	Ruins	room_area1	
* That's why I adopted&  that horrible view&  of the world./			Asriel	Ruins	room_area1	
"* ""Kill or be killed.""/"			Asriel	Ruins	room_area1	
\E7* But now..^1.&* After meeting you.../			Asriel	Ruins	room_area1	
\E0* Frisk^1, I don't regret&  that decision anymore./			Asriel	Ruins	room_area1	
\E4* I did the right&  thing./			Asriel	Ruins	room_area1	
* If I killed those&  humans.../			Asriel	Ruins	room_area1	
* We would have had to&  wage war against all&  of humanity./			Asriel	Ruins	room_area1	
\E0* And in the end^1,&  everyone went free^1,&  right?/			Asriel	Ruins	room_area1	
\E7* I still feel kind&  of sad knowing how&  long it took.../			Asriel	Ruins	room_area1	
\E0* ... so maybe it&  wasn't a perfect&  decision./			Asriel	Ruins	room_area1	
* But you can't regret&  hard choices your&  whole life^1, right?/			Asriel	Ruins	room_area1	
\E7* Well^1, not that I&  have much of a life&  left./			Asriel	Ruins	room_area1	
\E0* But that's besides&  the point./%%			Asriel	Ruins	room_area1	
* Frisk^1, thank you&  for listening to me./			Asriel	Ruins	room_area1	
* You should really go&  be with your friends&  now^1, OK?/			Asriel	Ruins	room_area1	
* Oh^1, and^1, please.../			Asriel	Ruins	room_area1	
\E7* In the future^1, if you&  uh^1, see me.../			Asriel	Ruins	room_area1	
* Don't think of it as&  me^1, OK?/			Asriel	Ruins	room_area1	
\E0* I just want you to&  remember me like this./			Asriel	Ruins	room_area1	
\E0* Someone that was your&  friend for a little&  while./			Asriel	Ruins	room_area1	
\E2* Oh^1, and Frisk.../			Asriel	Ruins	room_area1	
\E0* Be careful in the&  outside world^1, OK?/			Asriel	Ruins	room_area1	
* Despite what everyone&  thinks^1, it's not as&  nice as it is here./			Asriel	Ruins	room_area1	
\E7* There are a lot of&  Floweys out there./			Asriel	Ruins	room_area1	
\E2* And not everything can&  be resolved by just&  being nice./			Asriel	Ruins	room_area1	
* Don't kill^1, and&  don't be killed^1,&  alright?/			Asriel	Ruins	room_area1	
* That's the best you&  can strive for./			Asriel	Ruins	room_area1	
* Well^1, see you./%%			Asriel	Ruins	room_area1	
\E6* Don't you have&  anything better to&  do?/%%			Asriel	Ruins	room_area1	
chair						
* (Seems like the right size&  for Toriel.)/%%			Narrator	Ruins	room_torhouse2	
* (It's a great reading chair.^1)&* (But it doesn't seem like&  anyone uses it.)/%%			Narrator	New Home	room_asghouse2	
faketor						
alter						
Alter						
\E1* Hello..^1.&* Are you all right?/			Toriel	Ruins	room_area1_2	
* You must be so lost&  and confused.../			Toriel	Ruins	room_area1_2	
\E2* Ah, do not be&  afraid^1, my child./			Toriel	Ruins	room_area1_2	
\W* I am \BTORIEL\W,&  caretaker of the&  \RRUINS\W./			Toriel	Ruins	room_area1_2	
* I pass through here&  every day to see if&  anyone has fallen down./			Toriel	Ruins	room_area1_2	
* You are the first&  human to come here&  in a long time./			Toriel	Ruins	room_area1_2	
* I will do my best&  to protect you during&  your time here./			Toriel	Ruins	room_area1_2	
* Come^1!&* I shall guide you&  through the catacombs./%%			Toriel	Ruins	room_area1_2	
temptor						
mus						
flow						
flow_m						
Met1						
* Hee hee hee.../			Flowey	Ruins	room_area1_2	
* Why'd you make me&  introduce myself?/			Flowey	Ruins	room_area1_2	
* It's rude to act&  like you don't&  know who I am./			Flowey	Ruins	room_area1_2	
* Someone ought to teach&  you proper manners./			Flowey	Ruins	room_area1_2	
* Don't you have anything&  better to do?/%%			Flowey	Ruins	room_area1_2	
* Error/%%			Flowey	Ruins	room_area1_2	
* Really^1, 			Flowey	Ruins	room_area1_2	
\E5* Well^1, do what you&  will./			Flowey	Ruins	room_area1_2	
\E4* I'll be waiting for&  you!/%%			Flowey	Ruins	room_area1_2	
\E0* Hey^1.&* Remember./			Flowey	Ruins	room_area1_2	
\E2* DON'T kill anyone./			Flowey	Ruins	room_area1_2	
\E1* I can't believe this&  is a REAL thing I&  have to remind you./			Flowey	Ruins	room_area1_2	
\E0* Hee hee hee.../			Flowey	Ruins	room_area1_2	
* Good luck!/%%			Flowey	Ruins	room_area1_2	
* Remember.../			Flowey	Ruins	room_area1_2	
\E1* THIS time^1, you've&  GOT to become friends&  with everyone./			Flowey	Ruins	room_area1_2	
\E2* OK?/			Flowey	Ruins	room_area1_2	
\E5* If you DON'T^1, you'll&  be miserable FOREVER./			Flowey	Ruins	room_area1_2	
\E1* And we wouldn't want&  THAT^1, would we?/			Flowey	Ruins	room_area1_2	
\E0* No..^1.&* We just want you&  to be happy^1, right?/			Flowey	Ruins	room_area1_2	
* Good luck. /%%			Flowey	Ruins	room_area1_2	
alter2						
FloweyExplain1						
FS						
\E2* I hope you like your&  choice./			Flowey	Ruins	room_ruinsexit	
* After all^1, it's not&  as if you can go&  back and change fate./			Flowey	Ruins	room_ruinsexit	
\E0* In this world^1, it's kill&  or be killed./			Flowey	Ruins	room_ruinsexit	
\E2* That old hag thought&  she could break the&  rules./			Flowey	Ruins	room_ruinsexit	
\E1* She tried so hard&  to save you humans./			Flowey	Ruins	room_ruinsexit	
\E0* But when it came&  down to it.../			Flowey	Ruins	room_ruinsexit	
\TF*\E5 Hee hee.../			Flowey	Ruins	room_ruinsexit	
\E4* SHE COULDN'T EVEN&  SAVE HERSELF./			Flowey	Ruins	room_ruinsexit	
* WHAT AN IDIOT!!/%%			Flowey	Ruins	room_ruinsexit	
\E2* Heheheheh./			Flowey	Ruins	room_ruinsexit	
* You just can't&  get enough^1, can you!?/			Flowey	Ruins	room_ruinsexit	
\E6* How many more&  times will you&  kill her?/			Flowey	Ruins	room_ruinsexit	
* Ha ha ha ha ha.../			Flowey	Ruins	room_ruinsexit	
\E4*\TF You disgusting animal./			Flowey	Ruins	room_ruinsexit	
* You didn't even&  TRY to spare her./%%			Flowey	Ruins	room_ruinsexit	
* Wow^1, you really&  can't get enough./			Flowey	Ruins	room_ruinsexit	
\E5* You kind of remind&  me of myself./%%			Flowey	Ruins	room_ruinsexit	
* Wow^1, you're utterly&  repulsive./			Flowey	Ruins	room_ruinsexit	
\E6* You spared her life.../			Flowey	Ruins	room_ruinsexit	
* Then you decided that&  just wasn't interesting&  enough for you./			Flowey	Ruins	room_ruinsexit	
\E7* So you murdered her&  just to see what&  would happen./			Flowey	Ruins	room_ruinsexit	
\E5* You killed her out&  of boredom./			Flowey	Ruins	room_ruinsexit	
* Truly disgusting.../%%			Flowey	Ruins	room_ruinsexit	
* Hee hee.../			Flowey	Ruins	room_ruinsexit	
\E4* You naive idiot./			Flowey	Ruins	room_ruinsexit	
* Do you think you&  are the only one&  with that power?/			Flowey	Ruins	room_ruinsexit	
\E4* The power to reshape&  the world.../			Flowey	Ruins	room_ruinsexit	
* Purely by your&  own determination./			Flowey	Ruins	room_ruinsexit	
* The ability to&  play God!/			Flowey	Ruins	room_ruinsexit	
"* The ability to ""SAVE.""/"			Flowey	Ruins	room_ruinsexit	
\E0* I thought I was&  the only one with&  that power^1. But.../			Flowey	Ruins	room_ruinsexit	
\E1* I can't SAVE anymore./			Flowey	Ruins	room_ruinsexit	
* Apparently YOUR&  desires for this&  world override MINE./			Flowey	Ruins	room_ruinsexit	
\E5* Well well./			Flowey	Ruins	room_ruinsexit	
* Enjoy that power&  while you can./			Flowey	Ruins	room_ruinsexit	
\E4* I'll be watching./%%			Flowey	Ruins	room_ruinsexit	
* Hahaha.../			Flowey	Ruins	room_ruinsexit	
\E1* You're not really human^1,&  are you?/			Flowey	Ruins	room_ruinsexit	
\E1* No.^2 You're empty inside^2.&* \E4Just like me^1.&* In fact.../			Flowey	Ruins	room_ruinsexit	
\E8* You're 			Flowey	Ruins	room_ruinsexit	
,^1 right?/			Flowey	Ruins	room_ruinsexit	
\E0* We're still inseperable^1,&  after all these years.../			Flowey	Ruins	room_ruinsexit	
* Listen^1.&* I have a plan to become&  all powerful./			Flowey	Ruins	room_ruinsexit	
\E2* Even more powerful than&  you and your stolen&  soul./			Flowey	Ruins	room_ruinsexit	
\E4* Let's destroy everything&  in this wretched world./			Flowey	Ruins	room_ruinsexit	
\E6* Everyone^1, everything in&  these \E7worthless&  memories.../			Flowey	Ruins	room_ruinsexit	
\E5* Let's turn 'em all&  to dust./%%			Flowey	Ruins	room_ruinsexit	
* Clever.&* Verrrryyy clever./			Flowey	Ruins	room_ruinsexit	
* You think you're really&  smart^1, don't you?/			Flowey	Ruins	room_ruinsexit	
\E1* So you were able to&  play by your own&  rules./			Flowey	Ruins	room_ruinsexit	
*\E4 You spared the life&  of a single person./			Flowey	Ruins	room_ruinsexit	
* Froggit^1, Whimsun^1.&* Vegetoid^1, Loox^1.&* Migosp^1, Moldsmal./			Flowey	Ruins	room_ruinsexit	
* Think about those names./			Flowey	Ruins	room_ruinsexit	
* Do you think any of&  those monsters have&  families?/			Flowey	Ruins	room_ruinsexit	
* Do you think any of&  them have friends?/			Flowey	Ruins	room_ruinsexit	
\E6* Each one could have&  been someone else's&  Toriel./			Flowey	Ruins	room_ruinsexit	
\E7* Selfish brat./			Flowey	Ruins	room_ruinsexit	
* Somebody is dead&  because of you./%%			Flowey	Ruins	room_ruinsexit	
\E2* I bet you feel&  really great./			Flowey	Ruins	room_ruinsexit	
* You didn't kill&  anybody this time./			Flowey	Ruins	room_ruinsexit	
\E0* But what will you&  do if you meet a&  relentless killer?/			Flowey	Ruins	room_ruinsexit	
* You'll die and you'll&  die and you'll&  die./			Flowey	Ruins	room_ruinsexit	
\E1* Until you tire of&  trying./			Flowey	Ruins	room_ruinsexit	
\E0* What will you do&  then?/			Flowey	Ruins	room_ruinsexit	
\E5* Will you kill&  out of frustration?/			Flowey	Ruins	room_ruinsexit	
* Or will you give&  up entirely on&  this world.../			Flowey	Ruins	room_ruinsexit	
\E4* ... and let ME inherit&  the power to control&  it?/			Flowey	Ruins	room_ruinsexit	
\E5* I am the prince of&  this world's future./			Flowey	Ruins	room_ruinsexit	
* Don't worry^1, my little&  monarch^1, my plan&  isn't regicide./			Flowey	Ruins	room_ruinsexit	
* This is SO much&  more interesting./%%			Flowey	Ruins	room_ruinsexit	
* But don't act so&  cocky./			Flowey	Ruins	room_ruinsexit	
* I know what you did./			Flowey	Ruins	room_ruinsexit	
\E6* You murdered her./			Flowey	Ruins	room_ruinsexit	
\E7* And then you went&  back^1, because you&  regretted it./			Flowey	Ruins	room_ruinsexit	
* Ha ha ha ha.../			Flowey	Ruins	room_ruinsexit	
\E5* You naive idiot./			Flowey	Ruins	room_ruinsexit	
tor3						
tor2						
dogtimer						
d_noise						
* Hello^1!&* This is TORIEL./			Toriel (call)	Ruins	room_ruins6	
\E1* My errands are taking&  longer than I thought&  they would./			Toriel (call)	Ruins	room_ruins6	
\E1* You must wait 5 more&  minutes./			Toriel (call)	Ruins	room_ruins6	
\E0* Thank you for being&  patient./			Toriel (call)	Ruins	room_ruins6	
* Ring..\E1.\TT /			Cell phone	Ruins	room_ruins6	
* Hello..^1.&* This is TORIEL./			Toriel (call)	Ruins	room_ruins6	
\E1* I found what I was&  looking for./			Toriel (call)	Ruins	room_ruins6	
* But before I could&  take it.../			Toriel (call)	Ruins	room_ruins6	
* A small^1, white puppy&  snatched it away./			Toriel (call)	Ruins	room_ruins6	
\E0* How odd./			Toriel (call)	Ruins	room_ruins6	
\E1* Do dogs even LIKE&  flour?/			Toriel (call)	Ruins	room_ruins6	
\E8* Err^1, that is an&  unrelated question^1,&  of course./			Toriel (call)	Ruins	room_ruins6	
\E1* It will take a little&  longer^1.&* Please understand./			Toriel (call)	Ruins	room_ruins6	
* (You hear heavy panting on&  the other end of the&  phone...)/			Narrator	Ruins	room_ruins6	
* Bark^1!&* Bark!/			Annoying Dog (call)	Ruins	room_ruins6	
* Bark..^1.&* Bark!/			Annoying Dog (call)	Ruins	room_ruins6	
* (You hear a distant voice.)/			Narrator	Ruins	room_ruins6	
\TT* Stop^1, please!/			Toriel (call)	Ruins	room_ruins6	
* Come back here with my&  CELLPHONE!/			Toriel (call)	Ruins	room_ruins6	
* (Snore..^1. snore...)/			Annoying Dog (call)	Ruins	room_ruins6	
* (It sounds like a small^1,&  white dog is sleeping on&  the cell phone.)/			Narrator	Ruins	room_ruins6	
* (You hear a distant voice.)\TT/			Narrator	Ruins	room_ruins6	
* Helloooo^1?&* Little puppy...?/			Toriel (call)	Ruins	room_ruins6	
* Where are you...?/			Toriel (call)	Ruins	room_ruins6	
* I will give you a nice pat&  on the head!/			Toriel (call)	Ruins	room_ruins6	
\T0* (The snoring stops.)/			Narrator	Ruins	room_ruins6	
\TT* ... if you return my CELLPHONE./			Toriel (call)	Ruins	room_ruins6	
\T0* (The snoring resumes.)/			Narrator	Ruins	room_ruins6	
* (Achoo!)/			Annoying Dog (call)	Ruins	room_ruins6	
* (It sounds like a small^1,&  white dog sneezing in its&  sleep.)/			Narrator	Ruins	room_ruins6	
* Here^1, pup-pup-puppy!/			Toriel (call)	Ruins	room_ruins6	
* Oh dear^1, I should not keep&  my guest waiting any longer./			Toriel (call)	Ruins	room_ruins6	
* ... Oh no^1, how long has it&  been since I have talked to&  them...?/			Toriel (call)	Ruins	room_ruins6	
* Perhaps they have been calling&  the phone^1, and...?/			Toriel (call)	Ruins	room_ruins6	
* ... here^1, puppy!/			Toriel (call)	Ruins	room_ruins6	
* (Yawn...)/			Annoying Dog (call)	Ruins	room_ruins6	
* (Blink blink.)/			Annoying Dog (call)	Ruins	room_ruins6	
* (You hear a tired voice.)\TT/			Narrator	Ruins	room_ruins6	
* Doggie..^1.&* Here^1, doggie.../			Toriel (call)	Ruins	room_ruins6	
* Oh dear.../			Toriel (call)	Ruins	room_ruins6	
* I do wonder how they are.../			Toriel (call)	Ruins	room_ruins6	
fademusicout						
torielsong						
* How did you get&  here^1, my child^1?&* Are you hurt?/			Toriel	Ruins	room_ruins19	
* Not a scratch..^1.&*\E0 Impressive^1!&*\E1 But still.../			Toriel	Ruins	room_ruins19	
* There^1, there^1, I will&  heal you./			Toriel	Ruins	room_ruins19	
* Who did this to you^2?\E5 &* You will get an apology./			Toriel	Ruins	room_ruins19	
\E1* I should not have&  left you alone&  for so long./			Toriel	Ruins	room_ruins19	
* It was irresponsible&  to try to surprise&  you like this./			Toriel	Ruins	room_ruins19	
\E8* Err.../			Toriel	Ruins	room_ruins19	
\E0* Well^1, I suppose I&  cannot hide it&  any longer./			Toriel	Ruins	room_ruins19	
* Come^1, small one!/%%			Toriel	Ruins	room_ruins19	
torvolume						
* Oh dear^1, that took&  longer than I&  thought it would./%%			Toriel	Ruins	room_ruins19	
* Do you smell that^1?/			Toriel	Ruins	room_torhouse1	
* Surprise!/			Toriel	Ruins	room_torhouse1	
* It is a butterscotch-&  cinnamon pie./			Toriel	Ruins	room_torhouse1	
* I thought we might&  celebrate your&  arrival./			Toriel	Ruins	room_torhouse1	
* I want you to have&  a nice time living&  here./			Toriel	Ruins	room_torhouse1	
* So I will hold off&  on snail pie for&  tonight./			Toriel	Ruins	room_torhouse1	
* Here^1, I have another&  surprise for you./%%			Toriel	Ruins	room_torhouse1	
\E1* Er^1, I assume that&  expression means you&  do./			Toriel	Ruins	room_torhouse1	
\E0* S..^1. surprise!/			Toriel	Ruins	room_torhouse1	
* I have baked a snail&  pie./			Toriel	Ruins	room_torhouse1	
\E1* So I.../			Toriel	Ruins	room_torhouse1	
\E0* Here^1, I have another&  surprise for you./%%			Toriel	Ruins	room_torhouse1	
* This is it.../%%			Toriel	Ruins	room_torhouse3	
tiddywinkle						
ruff						
* Is something burning...?&* Um^1, make yourself&  at home!/%%			Toriel	Ruins	room_torhouse3	
* A room of your own.&* I hope you like it!/%%			Toriel	Ruins	room_torhouse3	
* I think you should&  play upstairs&  instead./%%			Toriel	Ruins	room_basement1	
* It is dangerous&  to play here./%%			Toriel	Ruins	room_basement1	
* It is drafty here.&* You will catch&  a cold./%%			Toriel	Ruins	room_basement1	
* It is dusty here.&* You will catch&  a cough./%%			Toriel	Ruins	room_basement1	
* There is nothing&  to see here./%%			Toriel	Ruins	room_basement1	
* Do you want to&  read a book?/%%			Toriel	Ruins	room_basement1	
\E7* I do not like&  the game you&  are playing./%%			Toriel	Ruins	room_basement1	
\E0* Why not go for&  a walk in the&  yard?/%%			Toriel	Ruins	room_basement1	
* Really now./%%			Toriel	Ruins	room_basement1	
\E4* .../%%			Toriel	Ruins	room_basement1	
* Hey^1, do not go down&  here./			Toriel	Ruins	room_basement1	
* I have something&  to show you&  upstairs./%%			Toriel	Ruins	room_basement1	
"* You wish to know how&  to return ""home,""&  do you not?/"			Toriel	Ruins	room_basement1	
* Ahead of us lies the&  end of the RUINS./			Toriel	Ruins	room_basement1	
* A one-way exit to the&  rest of the underground./			Toriel	Ruins	room_basement1	
* I am going to destroy&  it./			Toriel	Ruins	room_basement1	
* No one will ever&  be able to leave&  again./			Toriel	Ruins	room_basement1	
* Now be a good child&  and go upstairs./%%			Toriel	Ruins	room_basement1	
* Every human that falls&  down here meets&  the same fate./			Toriel	Ruins	room_basement2	
* I have seen it&  again and again./			Toriel	Ruins	room_basement2	
* They come./			Toriel	Ruins	room_basement2	
* They leave./			Toriel	Ruins	room_basement2	
* They die./			Toriel	Ruins	room_basement2	
* You naive child..^1.&* If you leave the&  RUINS.../			Toriel	Ruins	room_basement2	
\W* They..^1.&* \RASGORE\W..^1.&* Will kill you./			Toriel	Ruins	room_basement2	
* I am only protecting&  you^1, do you understand?/			Toriel	Ruins	room_basement2	
* ... go to your room./%%			Toriel	Ruins	room_basement2	
